Period	LjungBox_pval	SeasonalStrength	TrendStrength
297	0.000000	0.000000	0.854354
298	0.000000	0.000000	0.850650
299	0.000000	0.000000	0.852359
300	0.000000	0.000000	0.852319
301	0.000000	0.000000	0.849849
302	0.000000	0.000000	0.851457
303	0.000000	0.000000	0.849642
304	0.000000	0.000000	0.850155
305	0.000000	0.000000	0.849421
306	0.000000	0.000000	0.847703
307	0.000000	0.000000	0.844617
308	0.000000	0.000000	0.844003
309	0.000000	0.000000	0.844899
310	0.000000	0.000000	0.847650
311	0.000000	0.000000	0.853312
312	0.000000	0.000000	0.854843
313	0.000000	0.000000	0.853641
314	0.000000	0.000000	0.849203
315	0.000000	0.000000	0.847870
316	0.000000	0.000000	0.845356
317	0.000000	0.000000	0.846141
318	0.000000	0.000000	0.843913
319	0.000000	0.000000	0.843924
320	0.000000	0.000000	0.841883
321	0.000000	0.000000	0.834462
322	0.000000	0.000000	0.831514
323	0.000000	0.000000	0.831238
324	0.000000	0.000000	0.829123
325	0.000000	0.000000	0.825740
326	0.000000	0.000000	0.823385
327	0.000000	0.000000	0.820877
328	0.000000	0.000000	0.817634
329	0.000000	0.000000	0.816066
330	0.000000	0.000000	0.815341
331	0.000000	0.000000	0.817948
332	0.000000	0.000000	0.816312
333	0.000000	0.000000	0.812798
334	0.000000	0.000000	0.813374
335	0.000000	0.000000	0.813993
336	0.000000	0.000000	0.815373
337	0.000000	0.000000	0.811958
338	0.000000	0.000000	0.810122
339	0.000000	0.000000	0.811785
340	0.000000	0.000000	0.812816
341	0.000000	0.000000	0.812877
342	0.000000	0.000000	0.810760
343	0.000000	0.000000	0.810108
344	0.000000	0.000000	0.809508
345	0.000000	0.000000	0.809777
346	0.000000	0.000000	0.804749
347	0.000000	0.000000	0.802685
348	0.000000	0.000000	0.804775
349	0.000000	0.000000	0.806968
350	0.000000	0.000000	0.803666
351	0.000000	0.000000	0.800479
352	0.000000	0.000000	0.802046
353	0.000000	0.000000	0.801393
354	0.000000	0.000000	0.797666
355	0.000000	0.000000	0.797053
356	0.000000	0.000000	0.793022
357	0.000000	0.000000	0.789669
358	0.000000	0.000000	0.788589
359	0.000000	0.000000	0.786624
360	0.000000	0.000000	0.787157
361	0.000000	0.000000	0.788182
362	0.000000	0.000000	0.790785
363	0.000000	0.000000	0.793889
364	0.000000	0.000000	0.793497
365	0.000000	0.000000	0.798040
366	0.000000	0.000000	0.800304
367	0.000000	0.000000	0.803423
368	0.000000	0.000000	0.802734
369	0.000000	0.000000	0.804629
370	0.000000	0.000000	0.807160
371	0.000000	0.000000	0.805125
372	0.000000	0.000000	0.808101
373	0.000000	0.000000	0.807235
374	0.000000	0.000000	0.802774
375	0.000000	0.000000	0.804249
376	0.000000	0.000000	0.803700
377	0.000000	0.000000	0.807490
378	0.000000	0.000000	0.808316
379	0.000000	0.000000	0.808962
380	0.000000	0.000000	0.810113
381	0.000000	0.000000	0.807992
382	0.000000	0.000000	0.805956
383	0.000000	0.000000	0.803711
384	0.000000	0.000000	0.802278
385	0.000000	0.000000	0.799685
386	0.000000	0.000000	0.799232
387	0.000000	0.000000	0.796410
388	0.000000	0.000000	0.796541
389	0.000000	0.000000	0.795161
390	0.000000	0.000000	0.795950
391	0.000000	0.000000	0.797782
392	0.000000	0.000000	0.798284
393	0.000000	0.000000	0.796903
394	0.000000	0.000000	0.798042
395	0.000000	0.000000	0.796032
396	0.000000	0.000000	0.794313
397	0.000000	0.000000	0.793631
398	0.000000	0.000000	0.792099
399	0.000000	0.000000	0.792166
400	0.000000	0.000000	0.791751
401	0.000000	0.000000	0.789625
402	0.000000	0.000000	0.788919
403	0.000000	0.000000	0.788898
404	0.000000	0.000000	0.789223
405	0.000000	0.000000	0.792921
406	0.000000	0.000000	0.792909
407	0.000000	0.000000	0.794309
408	0.000000	0.000000	0.797067
409	0.000000	0.000000	0.796735
410	0.000000	0.000000	0.795067
411	0.000000	0.000000	0.794018
412	0.000000	0.000000	0.793589
413	0.000000	0.000000	0.793253
414	0.000000	0.000000	0.796070
415	0.000000	0.000000	0.798098
416	0.000000	0.000000	0.799164
417	0.000000	0.000000	0.803956
418	0.000000	0.000000	0.806275
419	0.000000	0.000000	0.805558
420	0.000000	0.000000	0.807017
421	0.000000	0.000000	0.809303
422	0.000000	0.000000	0.807053
423	0.000000	0.000000	0.807482
424	0.000000	0.000000	0.807651
425	0.000000	0.000000	0.806579
426	0.000000	0.000000	0.806204
427	0.000000	0.000000	0.805666
428	0.000000	0.000000	0.803814
429	0.000000	0.000000	0.800206
430	0.000000	0.000000	0.796965
431	0.000000	0.000000	0.796706
432	0.000000	0.000000	0.797368
433	0.000000	0.000000	0.795934
434	0.000000	0.000000	0.796663
435	0.000000	0.000000	0.799160
436	0.000000	0.000000	0.797508
437	0.000000	0.000000	0.799812
438	0.000000	0.000000	0.800197
439	0.000000	0.001734	0.800643
440	0.000000	0.003197	0.802094
441	0.000000	0.006801	0.798866
442	0.000000	0.010836	0.796988
443	0.000000	0.009738	0.794701
444	0.000000	0.013826	0.794937
445	0.000000	0.011811	0.793480
446	0.000000	0.012227	0.791570
447	0.000000	0.011239	0.790196
448	0.000000	0.013013	0.790489
449	0.000000	0.012838	0.790581
450	0.000000	0.008341	0.788158
451	0.000000	0.000746	0.785530
452	0.000000	0.002877	0.785857
453	0.000000	0.001972	0.785449
454	0.000000	0.001515	0.784763
455	0.000000	0.002558	0.783449
456	0.000000	0.000235	0.781986
457	0.000000	0.000000	0.781298
458	0.000000	0.000000	0.780957
459	0.000000	0.000000	0.780121
460	0.000000	0.000000	0.777790
461	0.000000	0.000000	0.774570
462	0.000000	0.000000	0.771574
463	0.000000	0.000000	0.769816
464	0.000000	0.000000	0.768209
465	0.000000	0.000000	0.767814
466	0.000000	0.000000	0.766394
467	0.000000	0.000000	0.765604
468	0.000000	0.000000	0.763258
469	0.000000	0.000000	0.761693
470	0.000000	0.000000	0.759539
471	0.000000	0.000000	0.757152
472	0.000000	0.000000	0.755086
473	0.000000	0.000000	0.755086
474	0.000000	0.000000	0.755204
475	0.000000	0.000000	0.753447
476	0.000000	0.000000	0.753960
477	0.000000	0.000000	0.755565
478	0.000000	0.000000	0.755159
479	0.000000	0.000000	0.754791
480	0.000000	0.000000	0.753173
481	0.000000	0.000000	0.753282
482	0.000000	0.000000	0.752355
483	0.000000	0.000000	0.752421
484	0.000000	0.000000	0.753074
485	0.000000	0.000000	0.752223
486	0.000000	0.000000	0.751437
487	0.000000	0.000000	0.752097
488	0.000000	0.000000	0.750531
489	0.000000	0.000000	0.752528
490	0.000000	0.000000	0.751587
491	0.000000	0.000000	0.750068
492	0.000000	0.000000	0.745810
493	0.000000	0.000000	0.742486
494	0.000000	0.000000	0.739235
495	0.000000	0.000000	0.741404
496	0.000000	0.000000	0.742861
497	0.000000	0.000000	0.742659
498	0.000000	0.000000	0.742418
499	0.000000	0.000000	0.744632
500	0.000000	0.000000	0.744180
501	0.000000	0.000000	0.746578
502	0.000000	0.000000	0.750327
503	0.000000	0.000000	0.750140
504	0.000000	0.000000	0.749392
505	0.000000	0.000000	0.741240
506	0.000000	0.000000	0.735036
507	0.000000	0.000000	0.730182
508	0.000000	0.000000	0.734547
509	0.000000	0.000000	0.730329
510	0.000000	0.000000	0.731513
511	0.000000	0.000000	0.732678
512	0.000000	0.000000	0.730592
513	0.000000	0.000000	0.724118
514	0.000000	0.000000	0.728125
515	0.000000	0.000000	0.723749
516	0.000000	0.000000	0.724806
517	0.000000	0.000000	0.719432
518	0.000000	0.000000	0.718803
519	0.000000	0.000000	0.718699
520	0.000000	0.000000	0.717808
521	0.000000	0.000000	0.722308
522	0.000000	0.000000	0.725880
523	0.000000	0.000000	0.727447
524	0.000000	0.000000	0.727206
525	0.000000	0.000000	0.725723
526	0.000000	0.000000	0.723757
527	0.000000	0.000000	0.721618
528	0.000000	0.000000	0.720832
529	0.000000	0.000000	0.719078
530	0.000000	0.000000	0.718640
531	0.000000	0.000000	0.717540
532	0.000000	0.000000	0.714706
533	0.000000	0.000000	0.714011
534	0.000000	0.000000	0.712316
535	0.000000	0.000000	0.711706
536	0.000000	0.000000	0.710908
537	0.000000	0.000000	0.709814
538	0.000000	0.000000	0.707747
539	0.000000	0.000000	0.704684
540	0.000000	0.000000	0.706304
541	0.000000	0.000000	0.707334
542	0.000000	0.000000	0.704589
543	0.000000	0.000000	0.705330
544	0.000000	0.000000	0.704859
545	0.000000	0.000000	0.704242
546	0.000000	0.000000	0.704189
547	0.000000	0.000000	0.703506
548	0.000000	0.000000	0.703163
549	0.000000	0.000000	0.703288
550	0.000000	0.000000	0.704236
551	0.000000	0.000000	0.705535
552	0.000000	0.000000	0.706847
553	0.000000	0.000000	0.706996
554	0.000000	0.000000	0.706987
555	0.000000	0.000000	0.707279
556	0.000000	0.000000	0.706188
557	0.000000	0.000000	0.704949
558	0.000000	0.000000	0.703993
559	0.000000	0.000000	0.702414
560	0.000000	0.000000	0.703060
561	0.000000	0.000000	0.702833
562	0.000000	0.000000	0.701963
563	0.000000	0.000000	0.701419
564	0.000000	0.000000	0.701505
565	0.000000	0.000000	0.700883
566	0.000000	0.000000	0.699574
567	0.000000	0.000000	0.698152
568	0.000000	0.000000	0.698489
569	0.000000	0.000000	0.698692
570	0.000000	0.000000	0.697373
571	0.000000	0.000000	0.696087
572	0.000000	0.000000	0.695423
573	0.000000	0.000000	0.693422
574	0.000000	0.000000	0.693451
575	0.000000	0.000000	0.692827
576	0.000000	0.000000	0.692379
577	0.000000	0.000000	0.693239
578	0.000000	0.000000	0.695052
579	0.000000	0.000000	0.694943
580	0.000000	0.000000	0.694701
581	0.000000	0.000000	0.693292
582	0.000000	0.000000	0.690446
583	0.000000	0.000000	0.693073
584	0.000000	0.000000	0.698023
585	0.000000	0.000000	0.699533
586	0.000000	0.000000	0.702167
587	0.000000	0.000000	0.703876
588	0.000000	0.002319	0.705109
589	0.000000	0.007370	0.707260
590	0.000000	0.012244	0.708861
591	0.000000	0.015664	0.708864
592	0.000000	0.019044	0.710050
593	0.000000	0.024119	0.710979
594	0.000000	0.026552	0.711742
595	0.000000	0.028786	0.712287
596	0.000000	0.035942	0.715099
597	0.000000	0.038323	0.717336
598	0.000000	0.040349	0.719317
599	0.000000	0.043908	0.720731
600	0.000000	0.044156	0.720150
