Period	LjungBox_pval	SeasonalStrength	TrendStrength
305	0.189412	0.099532	0.001784
306	0.002220	0.151703	0.001148
307	0.004738	0.138453	0.000558
308	0.017618	0.145074	0.003131
309	0.003538	0.119899	0.000508
310	0.067006	0.152334	0.002878
311	0.000468	0.152870	0.000000
312	0.117621	0.141812	0.001148
313	0.234246	0.133924	0.002366
314	0.022464	0.145856	0.002207
315	0.031854	0.138764	0.000369
316	0.000010	0.151970	0.001104
317	0.439998	0.155215	0.001748
318	0.090471	0.130921	0.000645
319	0.185796	0.134808	0.002438
320	0.008464	0.152686	0.000000
321	0.060394	0.154862	0.000651
322	0.050340	0.111102	0.001883
323	0.368415	0.148373	0.001310
324	0.021789	0.141051	0.002618
325	0.000001	0.135128	0.001752
326	0.285965	0.102317	0.000681
327	0.000143	0.152706	0.002349
328	0.052653	0.102308	0.000494
329	0.033265	0.100972	0.000000
330	0.034565	0.163526	0.001002
331	0.201334	0.118112	0.002113
332	0.074464	0.136219	0.000937
333	0.121957	0.157820	0.002283
334	0.052735	0.139795	0.000918
335	0.001748	0.140128	0.000165
336	0.021827	0.161935	0.002177
337	0.026620	0.147338	0.002863
338	0.001169	0.159323	0.000000
339	0.027012	0.162609	0.001799
340	0.097628	0.132445	0.002954
341	0.665508	0.138264	0.000369
342	0.367203	0.178788	0.001237
343	0.000062	0.148617	0.001211
344	0.012743	0.118313	0.000369
345	0.259930	0.162881	0.000496
346	0.070175	0.154420	0.000000
347	0.836301	0.153783	0.001107
348	0.012493	0.172778	0.000487
349	0.096007	0.157149	0.003000
350	0.180548	0.162213	0.000797
351	0.005246	0.142191	0.002732
352	0.000014	0.137547	0.000794
353	0.040678	0.123434	0.002489
354	0.551116	0.151683	0.002398
355	0.000733	0.138285	0.001024
356	0.028876	0.157575	0.002487
357	0.008223	0.178578	0.001920
358	0.121449	0.138331	0.002248
359	0.172605	0.127949	0.001412
360	0.001157	0.166601	0.002553
361	0.001800	0.136597	0.003045
362	0.058241	0.119901	0.002935
363	0.407048	0.126673	0.002222
364	0.022707	0.127552	0.001790
365	0.022358	0.127544	0.002742
366	0.000703	0.150008	0.003121
367	0.125101	0.152841	0.002533
368	0.023604	0.122027	0.000849
369	0.586292	0.126307	0.002298
370	0.344916	0.136572	0.002621
371	0.000312	0.134953	0.003005
372	0.097542	0.131865	0.002699
373	0.530797	0.168928	0.002496
374	0.064243	0.095609	0.001073
375	0.037359	0.137663	0.002409
376	0.107228	0.136288	0.001689
377	0.529423	0.132699	0.001752
378	0.005540	0.127873	0.001440
379	0.132739	0.143215	0.001351
380	0.217827	0.149483	0.002211
381	0.512251	0.157287	0.002463
382	0.001349	0.139260	0.001868
383	0.001722	0.186349	0.002382
384	0.001867	0.135358	0.000000
385	0.081506	0.142674	0.000000
386	0.008889	0.137630	0.001734
387	0.003899	0.152530	0.000000
388	0.258445	0.153067	0.001049
389	0.130852	0.143654	0.001399
390	0.000001	0.131845	0.000760
391	0.057547	0.130586	0.001556
392	0.002430	0.128106	0.002312
393	0.386657	0.144365	0.002057
394	0.002125	0.136667	0.001557
395	0.000789	0.164528	0.000000
396	0.217473	0.131611	0.002667
397	0.055319	0.174267	0.002519
398	0.623385	0.156205	0.002335
399	0.000933	0.123666	0.001902
400	0.548410	0.156498	0.003261
401	0.098825	0.181396	0.001632
402	0.001741	0.143105	0.002673
403	0.358149	0.152828	0.001101
404	0.029108	0.161125	0.000000
405	0.136009	0.130996	0.001733
406	0.000260	0.132469	0.000000
407	0.000915	0.135043	0.000299
408	0.018910	0.160853	0.002585
409	0.000573	0.148873	0.002996
410	0.053418	0.113518	0.001256
411	0.007047	0.131900	0.000750
412	0.006633	0.128241	0.000699
413	0.000503	0.153274	0.002615
414	0.005017	0.158522	0.002810
415	0.063466	0.153216	0.003107
416	0.490916	0.127507	0.002351
417	0.007808	0.131257	0.001065
418	0.006987	0.151368	0.001912
419	0.031053	0.151646	0.000644
420	0.167741	0.148149	0.002786
421	0.140939	0.180975	0.002325
422	0.145917	0.119999	0.001353
423	0.006829	0.167463	0.000586
424	0.272158	0.159744	0.002164
425	0.195041	0.116353	0.003048
426	0.376911	0.152024	0.001099
427	0.003439	0.135070	0.002394
428	0.006691	0.140336	0.002365
429	0.101731	0.148530	0.002767
430	0.039032	0.114970	0.000394
431	0.002129	0.167590	0.000488
432	0.014292	0.156127	0.001829
433	0.000006	0.119743	0.001355
434	0.268916	0.149353	0.001632
435	0.039973	0.130653	0.002701
436	0.000738	0.142274	0.001314
437	0.000993	0.181125	0.001385
438	0.200528	0.156599	0.002380
439	0.016987	0.136856	0.002440
440	0.012804	0.128539	0.002336
441	0.071272	0.160541	0.000781
442	0.001016	0.164215	0.001560
443	0.041514	0.122548	0.002323
444	0.005789	0.134973	0.000000
445	0.076959	0.148850	0.002092
446	0.132465	0.148634	0.000147
447	0.362451	0.189682	0.002106
448	0.115289	0.154319	0.000228
449	0.268724	0.162073	0.001391
450	0.001377	0.173718	0.001896
451	0.092814	0.150418	0.001847
452	0.001128	0.172825	0.001939
453	0.479242	0.126846	0.001084
454	0.125984	0.156716	0.001151
455	0.013458	0.123888	0.003038
456	0.023884	0.162586	0.000535
457	0.458020	0.154126	0.000000
458	0.026598	0.111583	0.001647
459	0.032236	0.166763	0.000000
460	0.113486	0.145390	0.000000
461	0.016698	0.168116	0.000081
462	0.021660	0.149819	0.001918
463	0.245245	0.156648	0.000343
464	0.069364	0.135141	0.000008
465	0.275320	0.150667	0.001163
466	0.074555	0.146434	0.001933
467	0.008258	0.136143	0.001291
468	0.000087	0.155715	0.000000
469	0.001356	0.148775	0.001673
470	0.000315	0.104877	0.000423
471	0.028752	0.145251	0.001042
472	0.005074	0.154411	0.001168
473	0.004290	0.135105	0.000000
474	0.126090	0.135333	0.000000
475	0.038686	0.147379	0.000000
476	0.005674	0.160160	0.001780
477	0.005155	0.148065	0.000644
478	0.469034	0.140814	0.001520
479	0.039809	0.160168	0.001207
480	0.000452	0.139149	0.002143
481	0.015253	0.180876	0.000000
482	0.001365	0.139645	0.000229
483	0.012315	0.142114	0.000741
484	0.000382	0.138625	0.002181
485	0.057915	0.146852	0.001895
486	0.002786	0.134665	0.000290
487	0.329628	0.134148	0.000187
488	0.148716	0.141761	0.000000
489	0.267855	0.142318	0.000839
490	0.032221	0.132140	0.000388
491	0.125006	0.170711	0.001420
492	0.000011	0.154619	0.000549
493	0.013988	0.134164	0.000000
494	0.631831	0.146873	0.001786
495	0.086530	0.162060	0.001334
496	0.005401	0.100931	0.000729
497	0.047040	0.191639	0.000000
498	0.126330	0.137974	0.001768
499	0.179713	0.193375	0.002117
500	0.275744	0.163969	0.001460
501	0.056633	0.135055	0.001300
502	0.053726	0.144232	0.001299
503	0.054314	0.153811	0.000000
504	0.024686	0.141901	0.001723
505	0.007039	0.113544	0.000000
506	0.004673	0.152577	0.002227
507	0.004715	0.165438	0.000783
508	0.023415	0.165056	0.000773
509	0.132854	0.142161	0.000000
510	0.027135	0.158742	0.000000
511	0.046429	0.150479	0.000435
512	0.026956	0.153450	0.001147
513	0.543915	0.150725	0.001845
514	0.006645	0.168161	0.002755
515	0.106452	0.162218	0.001400
516	0.372737	0.122500	0.001349
517	0.000051	0.125060	0.000000
518	0.348659	0.149212	0.000000
519	0.148747	0.156677	0.001078
520	0.000093	0.099399	0.001287
521	0.073159	0.164971	0.002787
522	0.007048	0.122410	0.000361
523	0.000000	0.083576	0.000000
524	0.016155	0.139625	0.001300
525	0.188662	0.128492	0.000000
526	0.001631	0.150010	0.001678
527	0.181004	0.145342	0.002201
528	0.004572	0.156421	0.001749
529	0.183645	0.140712	0.001752
530	0.020335	0.139235	0.002279
531	0.002673	0.173491	0.000448
532	0.028963	0.149900	0.000593
533	0.023522	0.137779	0.002197
534	0.027457	0.136089	0.000000
535	0.044242	0.133998	0.002961
536	0.000076	0.123884	0.001658
537	0.017274	0.137635	0.002028
538	0.001796	0.160722	0.000000
539	0.007087	0.118047	0.000000
540	0.751549	0.136018	0.002245
541	0.001291	0.148108	0.001871
542	0.008353	0.131152	0.001576
543	0.076719	0.150306	0.002724
544	0.112737	0.112726	0.002231
545	0.056527	0.159567	0.001903
546	0.040734	0.141951	0.000767
547	0.011833	0.155795	0.000000
548	0.052884	0.140108	0.001481
549	0.001472	0.131708	0.001446
550	0.006272	0.146225	0.001809
551	0.000045	0.095269	0.000000
552	0.000252	0.132524	0.000793
553	0.414261	0.124227	0.001747
554	0.057084	0.104007	0.001734
555	0.024565	0.132021	0.001845
556	0.008311	0.176973	0.001429
557	0.056026	0.127205	0.000020
558	0.043647	0.118902	0.001417
559	0.000116	0.151912	0.001327
560	0.246073	0.143228	0.002084
561	0.027696	0.120268	0.001839
562	0.002267	0.175925	0.001956
563	0.000052	0.166308	0.001280
564	0.003824	0.137208	0.002200
565	0.356873	0.152147	0.001939
566	0.007087	0.157406	0.000000
567	0.001201	0.147025	0.000895
568	0.770815	0.160410	0.000000
569	0.141712	0.127451	0.001795
570	0.001689	0.167569	0.002046
571	0.000148	0.149441	0.000000
572	0.000964	0.149989	0.001812
573	0.019688	0.136060	0.001979
574	0.046255	0.120070	0.002347
575	0.000147	0.108827	0.000000
576	0.008195	0.149330	0.001138
577	0.115938	0.121409	0.002519
578	0.143934	0.131081	0.000232
579	0.243056	0.116026	0.002780
580	0.148513	0.132865	0.001814
581	0.036172	0.114752	0.001379
582	0.013854	0.122112	0.002110
583	0.000353	0.155882	0.002441
584	0.018831	0.153787	0.002002
585	0.086211	0.155594	0.000967
586	0.006552	0.157949	0.002090
587	0.000194	0.137998	0.001706
588	0.000468	0.149663	0.000271
